Reference Name	Group	Depth	Breadth	Total reference bases
Bacteroides stercoris ATCC 43183 	Bacteria	233.04293161104	83.7248009530012	4009229
Bacteroides vulgatus PC510	Bacteria	119.533525936999	87.3156252731768	4781702
Bacteroides vulgatus ATCC 8482 	Bacteria	115.01	83.3479270272694	5163189
Bacteroides sp. 4_3_47FAA  	Bacteria	96.0695222921534	78.9110886774217	5344145
Alistipes putredinis DSM 17216  	Bacteria	91.2905085811949	89.9635198233014	2549878
Bacteroides caccae ATCC 43185  	Bacteria	46.8330886997805	89.2337124798513	4564814
Bacteroides ovatus ATCC 8483 	Bacteria	43.7942980045857	90.6540893484295	6463169
Bacteroides uniformis ATCC 8492	Bacteria	37.1334767162009	82.4877093585251	9434414
Bacteroides sp. D2  	Bacteria	33.339354248937	71.3905166499102	17733459
Parabacteroides merdae ATCC 43184 	Bacteria	31.0167261817059	90.3776436033762	4431877
Bacteroides cellulosilyticus DSM 14838 	Bacteria	26.9360458087605	83.6247678504633	6726268
Bacteroides sp. 3_1_33FAA  	Bacteria	25.9912979997519	83.375455674806	10802660
Coprococcus eutactus ATCC 27759  	Bacteria	25.6915001191134	59.9518646640149	3102087
Bacteroides sp. 2_2_4	Bacteria	24.8283436094961	79.8548954377442	7101224
Bacteroides sp. 9_1_42FAA	Bacteria	24.2259982616719	79.556343954908	5622644
Bacteroides sp. 1_1_14 	Bacteria	23.8871408768644	80.1210872880841	6446424
Bacteroides dorei DSM 17855 	Bacteria	21.7174385998096	82.2517460650669	5487768
Eubacterium rectale ATCC 33656 	Bacteria	21.07	84.7261126740557	3449685
Bacteroides coprocola DSM 17136 	Bacteria	20.218597079302	18.6313398052014	4295617
Bacteroides dorei 5_1_36/D4	Bacteria	19.9576319967137	80.5866561002165	5501690
Bacteroides sp. D4 	Bacteria	19.886685945627	80.1542545853375	5530727
Bacteroides eggerthii DSM 20697 	Bacteria	18.0575806810038	34.4517049144056	4157980
Bacteroides sp. 3_1_23 	Bacteria	17.9658674257052	79.1551089556144	6520178
Bacteroides ovatus SD CMC 3f	Bacteria	17.7954746616339	80.226615022053	6775279
Bacteroides sp. 1_1_6  	Bacteria	15.792570046221	85.2504218680127	6695222
Bacteroides thetaiotaomicron VPI-5482 	Bacteria	13.9434100968332	87.6493926414009	6293399
Bacteroides plebeius DSM 17135 	Bacteria	13.8770205576429	14.9683443240079	4421324
Bacteroides finegoldii DSM 17565  	Bacteria	13.2985462998942	24.5355241738823	4881901
Roseburia inulinivorans DSM 16841  	Bacteria	10.300902463701	86.8617761510421	4048462
Bacteroides sp. 2_1_22  	Bacteria	9.21245391823531	76.150183799405	5912968
Bacteroides sp. D1	Bacteria	9.07307620045694	74.9922746219075	5986762
Faecalibacterium prausnitzii M21/2  	Bacteria	8.57483359199586	84.7354782549186	3126983
Bacteroides xylanisolvens SD CC 1b 	Bacteria	8.10372585486151	74.4907432771842	6059812
Bacteroides ovatus SD CC 2a	Bacteria	8.07130545479668	74.3763261962666	6050198
Faecalibacterium prausnitzii A2-165 	Bacteria	8.01813365082158	83.3497519677206	3080849
Eubacterium eligens ATCC 27750 	Bacteria	7.60608542309093	76.4761394495776	2831389
Parabacteroides sp. D13  	Bacteria	7.22096581640679	47.9173995360444	5327234
Parabacteroides johnsonii DSM 18315 	Bacteria	6.67879897351351	26.9310256756048	4612238
Akkermansia muciniphila ATCC BAA-835 	Bacteria	6.33	91.8881484267494	2664102
Bacteroides sp. 20_3 	Bacteria	5.72206587730815	60.4331622405325	5749901
Bacteroides sp. 2_1_7 	Bacteria	5.58357506547808	41.1683567847559	5137215
Bacteroides sp. 3_1_19 	Bacteria	5.40333749197161	46.5495048109413	5250116
Bacteroides sp. 2_1_16  	Bacteria	5.31216157572277	7.88558299827685	10446000
Roseburia intestinalis L1-82  	Bacteria	5.30255392833296	82.1164318284283	4380675
Bacteroides intestinalis DSM 17393 	Bacteria	5.30236285388947	21.2432813952889	6052596
Bifidobacterium adolescentis L2-32	Bacteria	4.73015955338322	82.7525131641934	4762920
Bacteroides coprophilus DSM 18228 	Bacteria	4.07278963014108	8.29103166614057	3855443
Dorea formicigenerans ATCC 27755  	Bacteria	3.86003774916189	80.0894592676594	3186031
Bacteroides fragilis 3_1_12	Bacteria	3.77606577078415	9.02006558633953	5530115
Bacteroides pectinophilus ATCC 43243 	Bacteria	3.59722957264291	24.0074618429985	3025526
Prevotella buccalis ATCC 35310	Bacteria	3.51209478302457	4.50302426431981	3033961
Butyrivibrio crossotus DSM 2876  	Bacteria	3.48237325654878	70.7499745246378	2482791
Bacteroides sp. 2_1_33B  	Bacteria	3.47170410321649	55.5273535841024	4891699
Ruminococcus sp. 5_1_39BFAA	Bacteria	3.24231532805006	73.6656519473167	3801051
Eubacterium ventriosum ATCC 27560  	Bacteria	3.07468478705925	57.725890730548	2869695
Subdoligranulum variabile DSM 15176  	Bacteria	2.6713334544155	29.8595107106751	3237471
Parabacteroides distasonis ATCC 8503 	Bacteria	2.64	40.9893712384745	4811379
Bacteroides fragilis 638R	Bacteria	2.51	6.398106426414	5373121
Collinsella aerofaciens ATCC 25986  	Bacteria	2.33103871970175	71.457811874326	2439869
Burkholderiales bacterium 1_1_47	Bacteria	2.2703538376437	76.3065430611605	2655653
Bacteroides capillosus ATCC 29799 	Bacteria	1.88282435058452	23.0759057421368	4241853
Clostridium sp. L2-50  	Bacteria	1.88036565930383	17.0589780496094	2954116
Clostridium sp. M62/1  	Bacteria	1.83210264472385	17.4298403630464	3842594
Ruminococcus obeum ATCC 29174  	Bacteria	1.78735338681074	44.9639253699884	3624708
Prevotella bivia JCVIHMP010	Bacteria	1.71637362895722	2.71222290416889	2424432
Coprococcus comes ATCC 27758  	Bacteria	1.70886080678252	43.5279406838401	3238915
