Reference Name	Group	Depth	Breadth	Total reference bases
Prevotella copri DSM 18205  	Bacteria	655.927935669279	75.8664866145382	3507873
Eubacterium rectale ATCC 33656 	Bacteria	85.77	81.5042532868943	3449685
Bacteroides vulgatus ATCC 8482 	Bacteria	58.3	87.1309959794228	5163189
Bacteroides vulgatus PC510	Bacteria	45.9774923782369	86.4402047639104	4781702
Parabacteroides merdae ATCC 43184 	Bacteria	44.8949987104787	95.0660183033058	4431877
Bacteroides sp. 4_3_47FAA  	Bacteria	39.4288486090853	77.7273820227557	5344145
Alistipes putredinis DSM 17216  	Bacteria	37.2147025073356	86.8887844830223	2549878
Bacteroides caccae ATCC 43185  	Bacteria	26.3230014015905	90.1602124423909	4564814
Faecalibacterium prausnitzii M21/2  	Bacteria	19.3214039826887	91.2911582826002	3126983
Faecalibacterium prausnitzii A2-165 	Bacteria	13.9527011158288	91.2392006229452	3080849
Bacteroides ovatus SD CMC 3f	Bacteria	10.879440031916	39.9682876528037	6775279
Bacteroides stercoris ATCC 43183 	Bacteria	10.7812099333812	81.00278133277	4009229
Bacteroides thetaiotaomicron VPI-5482 	Bacteria	8.23323122211066	58.9636538220443	6293399
Bacteroides uniformis ATCC 8492	Bacteria	7.97711252018408	84.5958742111593	9434414
Prevotella bivia JCVIHMP010	Bacteria	7.8154641623275	6.13158051040409	2424432
Bacteroides coprophilus DSM 18228 	Bacteria	7.33220462862504	12.0501327603598	3855443
Akkermansia muciniphila ATCC BAA-835 	Bacteria	7.31	92.8986953202242	2664102
Bacteroides dorei DSM 17855 	Bacteria	7.07646426379541	36.8685046452401	5487768
Prevotella bryantii B14	Bacteria	6.24893024305674	5.74213869561672	3592947
Bacteroides sp. 1_1_6  	Bacteria	6.18878552346733	57.8628460714223	6695222
Bacteroides sp. 3_1_33FAA  	Bacteria	5.27903664560395	33.9392334850861	10802660
Bacteroides sp. 9_1_42FAA	Bacteria	5.01498388658432	35.8661156566199	5622644
Clostridium sp. L2-50  	Bacteria	4.72791194049252	88.4439202793661	2954116
Bacteroides sp. 2_2_4	Bacteria	4.64381677722038	36.9759213341249	7101224
